Code,Code_System,ValueSetName,Steward
Bactocill 2 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Bactocill 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Bactocill 4 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Bactocill 500 mg injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Bactocill 500 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Bactramycin 300 mg/mL injectable solution,Teladoc_Sample_String,Antibiotics,Teladoc
Bactrim 400 mg-80 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Bactrim DS 800 mg-160 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Bactrim I.V. 80 mg-16 mg/mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
Bactrim Pediatric 200 mg-40 mg/5 mL oral suspension,Teladoc_Sample_String,Antibiotics,Teladoc
Bactroban 2% nasal ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Bactroban 2% topical cream,Teladoc_Sample_String,Antibiotics,Teladoc
Bactroban 2% topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Baxdela 300 mg intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Baxdela 450 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Beepen-VK (obsolete) V potassium 125 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Beepen-VK (obsolete) V potassium 250 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Beepen-VK (obsolete) V potassium 250 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Beepen-VK (obsolete) V potassium 500 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Benznidazole 100 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Benznidazole 12.5 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Besivance 0.60% ophthalmic suspension,Teladoc_Sample_String,Antibiotics,Teladoc
Betadine Antibiotic 500 units-10000 units/g topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Betadine Plus Antibiotic and Pain Reliever 500 units-10000 units-10 mg/g topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Bethaprim 200 mg-40 mg/5 mL oral suspension,Teladoc_Sample_String,Antibiotics,Teladoc
Bethaprim Pediatric 200 mg-40 mg/5 mL oral suspension,Teladoc_Sample_String,Antibiotics,Teladoc
Bethkis 75 mg/mL inhalation solution,Teladoc_Sample_String,Antibiotics,Teladoc
Biaxin 125 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Biaxin 250 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
Biaxin 250 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Biaxin 500 mg oral tablet,Teladoc_Sample_String,Antibiotics,Teladoc
"Biaxin XL 500 mg oral tablet, extended release",Teladoc_Sample_String,Antibiotics,Teladoc
"Biaxin XL-Pak 500 mg oral tablet, extended release",Teladoc_Sample_String,Antibiotics,Teladoc
"Bicillin C-R 1,200,000 units-1,200,000 units/4 mL intramuscular suspension",Teladoc_Sample_String,Antibiotics,Teladoc
"Bicillin C-R 150,000 units-150,000 units/mL intramuscular suspension",Teladoc_Sample_String,Antibiotics,Teladoc
"Bicillin C-R 300,000 units-300,000 units/mL intramuscular suspension",Teladoc_Sample_String,Antibiotics,Teladoc
"Bicillin C-R 600,000 units-600,000 units/2 mL intramuscular suspension",Teladoc_Sample_String,Antibiotics,Teladoc
"Bicillin C-R 900/300 900,000 units-300,000 units/2 mL intramuscular suspension",Teladoc_Sample_String,Antibiotics,Teladoc
"Bicillin L-A (obsolete) G benzathine 1,200,000 units/2 mL intramuscular suspension",Teladoc_Sample_String,Antibiotics,Teladoc
"Bicillin L-A (obsolete) G benzathine 2,400,000 units/4 mL intramuscular suspension",Teladoc_Sample_String,Antibiotics,Teladoc
Bicillin L-A (obsolete) G benzathine 300000 units/mL intramuscular suspension,Teladoc_Sample_String,Antibiotics,Teladoc
Bicillin L-A (obsolete) G benzathine 600000 units/mL intramuscular suspension,Teladoc_Sample_String,Antibiotics,Teladoc
"Bicillin L-A 1,200,000 units/2 mL intramuscular suspension",Teladoc_Sample_String,Antibiotics,Teladoc
"Bicillin L-A 2,400,000 units/4 mL intramuscular suspension",Teladoc_Sample_String,Antibiotics,Teladoc
"Bicillin L-A 600,000 units/mL intramuscular suspension",Teladoc_Sample_String,Antibiotics,Teladoc
Biocef 125 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Biocef 250 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Biocef 500 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Biomox 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Biomox 250 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Biomox 500 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Blenoxane 15 units injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Blenoxane 30 units injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
"Bleo 15k 15,000 intl units injectable powder for injection",Teladoc_Sample_String,Antibiotics,Teladoc
Bleomycin 15 units injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Bleomycin 30 units injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Brodspec 125 mg/5 mL oral suspension,Teladoc_Sample_String,Antibiotics,Teladoc
Brodspec 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Brodspec 500 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Campho-Phenique Maximum Strength 500 units-10 mg-3.5 mg-5000 units/g topical ointment,Teladoc_Sample_String,Antibiotics,Teladoc
Capastat Sulfate 1 g intramuscular powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Carmol Scalp 10%-10% topical lotion,Teladoc_Sample_String,Antibiotics,Teladoc
Carmol Scalp Treatment Kit 10%-10% topical lotion,Teladoc_Sample_String,Antibiotics,Teladoc
Cayston 75 mg inhalation powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 1 g intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 1 g/10 mL injectable solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 1 g/10 mL-NaCl 0.9% intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 1 g/100 mL-NaCl 0.9% intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 1 g/50 mL-iso-osmotic dextrose intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 10 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 2 g intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 2 g/10 mL-NaCl 0.9% intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 2 g/100 mL-5% injectable solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 2 g/100 mL-D5% intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 2 g/100 mL-NaCl 0.9% intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 2 g/20 mL injectable solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 2 g/20 mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 2 g/50 mL-D5% intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 2 g/50 mL-NaCl 0.9% intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 20 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 3 g/100 mL-NaCl 0.9% intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 3 g/20 mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 500 mg injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium 500 mg/50 mL intravenous solution,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium ADD-Vantage 1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium Novaplus 1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CeFAZolin Sodium Novaplus 10 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
Ceclor 125 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Ceclor 187 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Ceclor 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Ceclor 250 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Ceclor 375 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
"Ceclor CD 375 mg oral tablet, extended release",Teladoc_Sample_String,Antibiotics,Teladoc
"Ceclor CD 500 mg oral tablet, extended release",Teladoc_Sample_String,Antibiotics,Teladoc
Ceclor Pulvules 250 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Ceclor Pulvules 500 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Cedax 180 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
Cedax 400 mg oral capsule,Teladoc_Sample_String,Antibiotics,Teladoc
Cedax 90 mg/5 mL oral powder for reconstitution,Teladoc_Sample_String,Antibiotics,Teladoc
CefOXitin 1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CefOXitin 1 g intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CefOXitin 10 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CefOXitin 2 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CefOXitin 2 g intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CefTAZidime 1 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CefTAZidime 1 g intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CefTAZidime 2 g injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CefTAZidime 2 g intravenous powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
CefTAZidime 500 mg injectable powder for injection,Teladoc_Sample_String,Antibiotics,Teladoc
